CHOU, T
KIM, KS
OSTER, G
COLEMAN, P
PEPIN, C
TSVELIK, AM
VISHWANATH, A
SENTHIL, T
YAMAMOTO, S
FUKUI, T
SAKAI, T
SOOD, AK
BANDYOPADHYAY, R
BASAPPA, G
BASKARAN, G
HAVILIO, M
AUERBACH, A
KIM, HT
CHAUDHARY, S
RAJARAJAN, AK
SINGH, KJ
ROY, SB
CHADDAH, P
LATORA, V
RAPISARDA, A
RUFFO, S
CHOI, MS
BRUDER, C
LOSS, D
SHYTOV, AV
DERZHKO, O
KROKHMALSKII, T
RICHTER, J
ZABURANNYI, O
SHANGGUAN, WZ
AU-YEUNG, TC
RAO, XS
ONG, CK
JIN, BB
FENG, YP
STARYKH, OA
JACQUOD, PRJ
NARIMANOV, EE
STONE, AD
MALARZ, K
FRANZOSI, R
GATTO, R
PETTINI, G
PETTINI, M
CHATTOPADHYAY, AK
MACDONALD, AH
FISHER, MPA
BARCI, DG
OXMAN, LE
NEICU, T
PRADHAN, A
LAROCHELLE, DA
KUDROLLI, A
ZHU, JX
TING, CS
CHU, CW
WU, T
OGALE, SB
GARRISON, JE
NAGARAJ, B
CHEN, Z
GREENE, RL
RAMESH, R
VENKATESAN, T
MILLIS, AJ
MUTO, S
AOKI, H
TAKAGI, Y
FUJITA, M
WAKABAYASHI, K
IGAMI, M
OKADA, S
NAKADA, K
KUSAKABE, K
KWON, SK
YOUN, SJ
MIN, BI
SCHACHINGER, E
CARBOTTE, JP
RUOCCO, G
SETTE, F
LEONARDO, RD
MONACO, G
SAMPOLI, M
SCOPIGNO, T
VILIANI, G
MISHONOV, TM
MISHONOV, MT
IRKHIN, VY
KATANIN, AA
DONKOV, AA
KOLEVA, RK
PENEV, ES
BENETATOS, P
MARCHETTI, MC
VODOLAZOV, DY
MAKSIMOV, IL
PARK, K
JAIN, JK
ZHANG, Y
ONG, NP
XU, ZA
GAGNON, R
TAILLEFER, L
HU, CR
SHEEHY, DE
GOLDBART, PM
SCHMALIAN, J
YAZDANI, A
HERBUT, IF
BERNHARD, C
TALLON, JL
BRUCHER, E
KREMER, RK
YAMAMOTO, R
KOB, W
SEBASTIAN, KL
PAUL, AKR
APELL, SP
PENN, DR
JOHANSSON, P
COCHEC, JL
LAMURA, G
GAUZZI, A
LICCI, F
