RADZIHOVSKY, L
FRISCHAT, SD
KUHN, R
BEENAKKER, CWJ
MELSEN, JA
BROUWER, PW
JONG, MJMD
CIRILLO, ENM
GONNELLA, G
XIAN, Y
HALDANE, FDM
BASHKIN, E
PAVLOFF, N
TREINER, J
EDER, R
OHTA, Y
MAEKAWA, S
READ, N
ZHU, X
LITTLEWOOD, PB
HYBERTSEN, MS
RICE, TM
FUJITA, A
HIKAMI, S
NAKAMURA, H
HATANO, N
TAKAHASHI, M
ZIRNBAUER, MR
VOROPAEV, S
XIANG, T
WHEATLEY, JM
ROJO, AG
BALSEIRO, CA
MIKHEEV, L
YANG, SRE
MACDONALD, AH
KRAPIVSKY, PL
ESIPOV, SE
ZEE, A
KISHINE, J
NAMAIZAWA, H
CLARKE, P
GLAZMAN, LI
MATVEEV, KA
HINDMARSH, M
RANIERI, P
KONIG, J
SCHOELLER, H
SCHON, G
FAZIO, R
KUBOKI, K
SIGRIST, M
LEE, PA
CHUBUKOV, AV
STARYKH, OA
WANG, DF
GRUBER, C
RODRIGUEZ, JP
MILLIS, AJ
SHRAIMAN, BI
ARNDT, PF
HEINZEL, T
MUSAELIAN, KA
JONALASINIO, G
PRESILLA, C
SJOSTRAND, J
DERZHKO, O
KROKHMALSKII, T
JENSEN, J
IVANOV, DA
LEE, H
LEVITOV, LS
JUNGWIRTH, T
SMRCKA, L
KETOJA, JA
SATIJA, II
CHAVES, JC
HOWARD, M
CARDY, J
PARISI, G
TSALLIS, C
STARIOLO, DA
KIRCZENOW, G
YOON, H
DEUTSCH, JM
LEVIEN, R
NAYAK, C
WILCZEK, F
PODGORNIK, R
GHOSH, H
SARDAR, M
KOLLER, D
MARTIN, MC
STEPHENS, PW
MIHALY, L
PEKKER, S
JANOSSY, A
CHAUVET, O
FORRO, L
FERRARI, R
CHOU, T
LUCAS, SK
STONE, HA
BETOURAS, J
JOYNT, R
BERCHE, B
BERCHE, PE
HENKEL, M
IGLOI, F
LAJKO, P
MORGAN, S
TURBAN, L
INARREA, J
PLATERO, G
ODOR, G
FALCI, G
TAGLIACOZZO, A
GIAQUINTA, G
ZHONG, QF
SORELLA, S
GRUNINGER, M
MUNZEL, J
GAYMANN, A
ZIBOLD, A
GESERICH, HP
KOPP, T
CHAMON, CDC
MUDRY, C
WEN, X
KWON, HJ
HOUGHTON, A
MARSTON, JB
MCKENZIE, RH
DOMINICIS, CD
ORLAND, H
TEMESVARI, T
CURADO, EMF
TAMARIT, FA
RUTENBERG, AD
ARONOV, AG
KRAVTSOV, VE
LERNER, IV
KOTECKY, CBR
GOULIAN, M
MILNER, ST
PELITI, L
HONG, J
KEE, H
CASULLERAS, J
BORONAT, J
STOLZE, J
NOPPERT, A
MULLER, G
GOLDHABER, AS
JAIN, JK
FISCHER, W
LESCHKE, H
MUELLER, P
MONASSON, R
ZECCHINA, R
SANBORN, BA
PENC, K
MILA, F
SHIBA, H
HLUBINA, R
GIAMARCHI, T
DOUSSAL, PL
TIKOFSKY, AM
BAILEY, DB
BRAY, AJ
LUKYANCHUK, IA
ZHITOMIRSKY, ME
OLGUIN, D
BAQUERO, R
POILBLANC, D
SCALAPINO, DJ
HANKE, W
LASSIG, M
COMTET, A
DESBOIS, J
MONTHUS, C
DIEZ, E
SANCHEZ, A
DOMINGUEZADAME, F
PRAGUE, CBJJE
MARSEILLE, C
NACHTERGAELE, B
SIEWERT, J
ZAIKIN, AD
TONER, J
LAMMERT, PE
ROKHSAR, DS
KOB, W
ANDERSEN, HC
JAYANNAVAR, AM
DEO, PS
PAREEK, TP
YOSHIOKA, D
KATO, H
HUCKESTEIN, B
BALENTS, L
SIMON, SH
FATH, G
SOLYOM, J
DUKAN, S
TESANOVIC, Z
DORSEY, AT
NORMAN, MR
LIU, DZ
LEVIN, K
MALY, J
LIU, D
SARMA, SD
HESSELBO, B
STINCHCOMBE, RB
SCHOLLWOECK, U
JOLICOEUR, T
HANISCH, T
KLEINE, B
RITZL, A
MUELLERHARTMANN, E
GOLUBOV, AA
MAZIN, II
LIECHTENSTEINA, AI
MAZINA, II
ANDERSENA, OK
CREFFIELD, CE
KLEPFISH, EG
PIKE, ER
SARKAR, S
NATTERMANN, T
SCHEIDL, S
KORSHUNOV, SE
LI, MS
KAMAL, M
MUSSLIMANI, ZH
AUERBACH, A
GOTTSTEIN, CT
WERNER, RF
ONELLION, M
PHYSICS, DO
WISCONSIN, UO
AL, SATE
STRONG, SP
ZUPANOVIC, P
BJELIS, A
BARISIC, S
KALTHOFF, W
SCHWARZER, S
RISTOW, GH
HERRMANN, HJ
WIEGMANN, PB
ZABRODIN, AV
SHYTOV, AV
VINOKUR, VM
ARRIGONI, E
STRINATI, GC
ALTSHULER, BL
IOFFE, LB
LARKIN, AI
RENN, SR
AROVAS, DP
HUCHT, A
MOSCHEL, A
USADEL, KD
PARISI, PBG
BARNES, C
JOHNSON, BL
ZHELEZNYAK, AT
YAKOVENKO, VM
TAGUCHI, Y
TAKAYASU, H
LEHMANN, N
SAVIN, DV
SOKOLOV, VV
SOMMERS, HJ
GUARNERI, I
ZAKRZEWSKI, KZJ
MOLINARI, L
CASATI, G
JARZYNSKI, C
JULIAN, J
BOGHOSIAN, BM
TAYLOR, W
KENNA, R
IRVING, AC
HALASZ, MA
VERBAARSCHOT, JJM
ENGELHARDT, M
DOTSENKO, V
PICCO, M
PUJOL, P
AHN, C
LEE, K
NAM, S
ILLUMINATI, F
VIOLA, L
YI, P
PASQUIER, DBV
SERBAN, D
ARODZ, H
BERNARD, D
PROVERO, P
VINTI, S
BOETTGER, W
WISSOWSKI, H
KASTRUP, HA
STEVENS, MJ
GREST, GS
PANKRATOV, O
SCHEFFLER, M
STAMPFL, C
MADER, KA
WANG, LW
ZUNGER, A
HERNANDEZ, E
GILLAN, MJ
GONZE, X
GHOSEZ, P
GODBY, RW
HOHENBERG, PC
B, J
FLACH, S
BUGRIJ, A
RUBTSOV, V
SHADURA, V
MARTINO, SD
SIENA, SD
ALFINITO, E
LEO, M
LEO, RA
PALESE, M
SOLIANI, G
LORENZANA, J
SAWATZKY, GA
FLATTE, ME
RUNGE, E
EHRENREICH, H
LATKOVIC, M
SHIMSHONI, E
HABIB, S
SAXENA, A
ZAPOTOCKY, M
ZAKRZEWSKI, W
PAULUS, B
FULDE, P
STOLL, H
BASKARAN, G
KANHERE, DG
ARJUNWADKAR, M
BASU, R
NIKSIC, H
TUTIS, E
AVRON, JE
SEILER, R
ZOGRAF, PG
SANDVIK, AW
SACHDEV, S
CHKLOVSKII, DB
VILK, YM
TREMBLAY, AMS
PELIZZOLA, A
BUZANO, C
CHANDRA, P
SHERRINGTON, D
ALHASSID, Y
ATTIAS, H
ANDERS, FB
NORMAND, B
KOHNO, H
FUKUYAMA, H
TSVELIK, AM
SHELTON, D
LIEB, EH
SOLOVEJ, JP
YNGVASON, J
GINGRAS, MJP
HUSE, DA
MONTORSI, A
CAMPBELL, DK
LEE, J
INSTITUTE, L
YORK, CCON
REULET, B
RAMIN, M
BOUCHIAT, H
MAILLY, D
CHEN, J
KOBES, R
WANG, J
SACHRAJDA, AS
FENG, Y
TAYLOR, RP
HENNING, L
ZAWADZKI, P
COLERIDGE, PT
STERN, A
HALPERIN, BI
HACKENBROICH, G
WEIDENMUELLER, HA
ROSCH, A
ODONOVAN, C
CARBOTTE, JC
MAKSE, H
AMMON, B
TROYER, M
TSUNETSUGU, H
MAGNEE, PHC
WEES, BJV
KLAPWIJK, TM
GRAAF, WVD
BORGHS, G
BERGERHOFF, B
LITIM, D
LOLA, S
WETTERICH, C
KIM, J
LEE, T
REDNER, S
UNIVERSITY, B
VAKARCHUK, I
TKACHUK, V
KULIY, T
SANTOS, RRD
CASSANELLO, C
FRADKIN, E
AZCOITI, V
FOLLANA, E
RITORT, F
SUN, Y
QIN, S
NG, T
SU, Z
BASLER, M
KRECH, W
PLATOV, KY
JUAN, Y
KAXIRAS, E
ZEGER, LM
ANTONELLI, A
KARTHA, S
KRUMHANSL, J
SETHNA, J
WICKHAM, L
HATTEL, S
WHEATLEY, J
EISENBERG, E
AVIGUR, R
SHNERB, N
PAZMANDI, F
ZIMANYI, GT
SCALETTAR, RT
SHAHBAZYAN, TV
RAIKH, ME
DEMLER, E
ZHANG, S
FELDMAN, DE
SCHULTKA, N
MANOUSAKIS, E
BOWICK, M
FRANCESCO, PD
GOLINELLI, O
GUITTER, E
MACIA, E
KAWASHIMA, N
GUBERNATIS, JE
KUKLOV, AB
KRAKOVSKY, A
BIRMAN, JL
MARINARI, E
BENAKLI, FPM
JAGANNATHAN, A
CORBERI, F
CONIGLIO, A
ZANNETTI, M
ARGAMAN, N
PORTNOI, ME
RASHBA, EI
FABRICIUS, K
LOW, U
MUTTER, KH
CUGLIANDOLO, LF
DEAN, DS
FUENTES, M
LOPEZ, A
MORENO, E
GELLER, MR
VIGNALE, G
BARANGER, HU
MELLO, PA
LEHLE, W
SCHMID, A
KOGAN, E
KAVEH, M
ANDREI, N
DOUGLAS, MR
JEREZ, A
NAZARENKO, A
VOS, KJE
HAAS, S
DAGOTTO, E
GOODING, RJ
GORELIK, LY
SHUMEIKO, VS
SHEKHTER, RI
WENDIN, G
JONSON, M
BARMA, M
BHALERAO, RS
HARRIS, AB
CIEPLAK, M
KOPIETZ, P
SCHOENHAMMER, K
HERMISSON, J
FRAHM, H
RODENBECK, C
PANG, H
AKHLAGHPOUR, H
JARRELL, M
KOLESIK, M
SUZUKI, M
CHOI, H
MELE, EJ
MEDEN, V
GONZALEZ, J
GUINEA, F
VOZMEDIANO, MAH
VERMEULEN, C
BARFORD, W
AZZOUZ, M
DOMBRE, T
FREERICKS, JK
GEORGAKIS, GA
NIU, Q
OLIVEIRA, SMD
OLIVEIRA, PMCD
BARRETO, FCS
MARINO, I
EISENSTEIN, E
KANTER, I
KESSLER, DA
KINZEL, W
JANA, D
ZHOU, C
SCHULZ, HJ
LUEBECK, S
TADIC, B
IKEDA, R
MALDACENA, JM
LUDWIG, AWW
XU, D
YIP, SK
SAULS, JA
WU, XG
SONDHI, SL
MOOS, TH
HUBNER, W
LIN, KHB
WENG, ZY
SHENG, DN
TING, CS
NELSON, DR
FREILIKHER, V
PUSTILNIK, M
YURKEVICH, I
FREILIKHER, VD
MARADUDIN, AA
MCGURN, AR
LIANSKY, BA
YURKEVICH, IV
DALLEY, S
ZUREK, WH
MOON, K
GIRVIN, SM
BERGER, J
CHAU, HF
HUI, PM
WOO, YF
NAGEL, K
PACZUSKI, M
LVOV, V
PROCACCIA, I
BOFFETTA, G
PALADIN, G
VULPIANI, A
BAHEL, A
RAMAKRISHNA, MV
PAN, J
TOMASULO, A
RAMAKRISHNAI, MV
DICKMAN, R
STELL, G
JANSEN, APJ
SWIFT, MR
OSBORN, WR
YEOMANS, JM
FLANIGAN, M
TAMAYO, P
BOETTCHER, S
MOSHE, M
CAPPELLI, A
TRUGENBERGER, CA
ZEMBA, GR
DIAMANTINI, MC
SODANO, P
GRABOWSKI, MP
MATHIEU, P
HETRICK, JE
HOSOTANI, Y
ISO, S
MAURI, F
CAR, R
RUGGERONE, P
KOHLER, B
WILKE, S
ZHONG, W
VANDERBILT, D
RABE, KM
CHAKRABORTY, B
HOLENDER, JM
PAYNE, MC
SIMPSON, A
MIGUEL, MS
MONTAGNE, R
AMENGUAL, A
HERNANDEZGARCIA, E
WODKIEWICZ, K
PRUSCHKE, T
HOLMLUND, K
MINNHAGEN, P
KUCHIEV, MY
SUSHKOV, OP
AO, P
TSAI, Y
GORBAR, EV
LOKTEV, VM
SHARAPOV, SG
POLYAKOV, DG
GUERRERO, M
YU, CC
NARASIMHAN, S
HO, T
POTTERS, M
FRENKEL, DM
ZHANG, J
RIKVOLD, PA
SUNG, YE
WIECKOWSKI, A
ZHA, Y
MUKAMEL, D
OREG, Y
FINKELSTEIN, AM
CANESSA, E
RUIZLORENZO, JJ
KELLENDONK, J
KIERFELD, J
KIOMETZIS, M
KLEINERT, H
INSTITUT, AMJSS
MIKHEEV, LV
DROSSEL, B
KARDAR, M
QUESADA, D
TRALLEROGINER, C
LEE, D
WANG, Z
FRADKIN, MA
AU, C
ZHAO, B
GRANATO, E
VEIGY, ADD
OUVRY, S
PHYSIQUE, DD
FORGACS, G
ZIEGLER, K
FOGEDBY, HC
ERIKSSON, AB
MORR, DK
SA, PD
KANTOR, Y
SCHUTZ, G
HOLYST, R
OSWALD, P
YI, J
CANRIGHT, GS
BERLINSKY, AJ
FETTER, AL
FRANZ, M
KALLIN, C
SOININEN, PI
THEORETISCHE, VSOIF
SUGANO, R
ONOGI, T
MURAYAMA, Y
TURNER, N
NICHOLLS, JT
BROWN, KM
LINFIELD, EH
PEPPER, M
RITCHIE, DA
JONES, GAC
RIEGER, H
CARAZZA, B
ITALY, PDP
WILKIN, NK
MOORE, MA
COOPER, SL
PINES, D
FISHER, MPA
ZHENG, L
FERTIG, HA
KENTUCKY, UO
FELDMAN, J
MAGNEN, J
RIVASSEAU, V
TRUBOWITZ, E
MATTSSON, A
MARTINEZ, S
PETRITIS, D
XI, Z
RADTKE, RJ
FRAHM, K
MUELLERGROELING, A
PICHARD, JL
WEINMANN, D
HARIGAYA, K
SHIMOI, Y
ABE, S
BEENEN, J
EDWARDS, DM
CARLSON, J
MEZARD, M
BRODERIX, K
HUNDERTMARK, D
KIRSCH, W
FEINGOLD, M
AVISHAI, Y
BERKOVITS, R
POKROVSKY, SV
POKROVSKY, VL
KUMAR, PBS
NG, K
UNIVERSITY, R
ADLER, J
PRIVMAN, V
CADILHE, AMR
GLASSER, ML
CHOI, M
LEE, S
PUTIKKA, W
DZIARMAGA, J
GYURE, MF
HARRINGTON, ST
STRILKA, R
STANLEY, HE
STAUFFER, D
ABRAHAMS, E
BALATSKY, AV
SCHRIEFFER, JR
NEWMAN, MEJ
HENLEY, CL
NOVOTNY, MA
BORGONOVI, F
SHEPELYANSKY, DL
SILVESTROV, PG
FRICKE, J
BOTTANI, S
HADICKE, A
GAGLIANO, ER
FEIGELMAN, MV
GESHKENBEIN, VB
WICHMANN, T
GIACOMETTI, A
MURTHY, KPN
MARTINDELGADO, MA
SIERRA, G
SCHUTZ, GM
ROEMER, RA
ECKLE, HP
SUTHERLAND, B
NETO, AHC
PHILLIPS, P
CALDEIRA, AO
KAMENEV, A
GEFEN, Y
HALLBERG, KA
FALKO, VI
EFETOV, KB
LESOVIK, GB
LINDEN, WVD
PREUSS, R
PENNA, TJP
CARVALHAES, CG
JR, ATC
OLIVEIRA, SMMD
CORDEIRO, CE
HEID, R
WHITE, SR
GRAF, MJ
PALUMBO, M
RAINER, D
OSTLUND, S
ROMMER, S
JANCOVICI, B
TELLEZ, G
FREIRE, F
OCONNOR, D
STEPHENS, CR
KAWARABAYASHI, T
OHTSUKI, T
TITOV, ML
YASHENKIN, AG
ARISTOV, DN
FROEHLICH, J
STUDER, UM
THIRAN, E
PURI, S
ROJAS, F
MONIEN, H
RATSCH, C
VSMILAUER, P
ZANGWILL, A
VVEDENSKY, DD
KANEKO, T
JOYCE, BA
KAWAMURA, T
HARRIS, S
YU, Y
LI, Y
DAMBRUMENIL, N
BOER, JD
SCHADSCHNEIDER, A
KIVSHAR, YS
CHACON, E
HERNANDEZ, JP
